"","circ_id","mmu1","mmu2","mmu3"
"464","10:19993890|19994329",NA,NA,3
"465","10:20106529|20122461",NA,NA,6
"466","10:20121015|20122461",NA,NA,11
"467","10:20121015|20126226",11,NA,2
"468","10:20121015|20133075",NA,2,NA
"469","10:22581591|22587990",4,NA,NA
"470","10:23674643|23681938",NA,NA,3
"471","10:23692190|23698916",NA,NA,3
"472","10:24683343|24702196",NA,NA,2
"473","10:25096508|25165628",3,NA,3
"474","10:25143205|25147539",NA,NA,2
"475","10:25143205|25165628",NA,NA,2
"476","10:25317470|25319852",NA,NA,6
"477","10:25354906|25364991",2,NA,NA
"478","10:26721927|26736728",2,NA,NA
"479","10:28139496|28139768",NA,2,NA
"480","10:28210471|28259720",NA,NA,5
"481","10:28259426|28259720",NA,2,NA
"482","10:28341753|28342056",NA,NA,2
"483","10:28427613|28436161",NA,NA,2
"484","10:28445892|28451702",NA,5,NA
"485","10:30466020|30467098",4,NA,NA
"486","10:31233867|31255326",NA,NA,2
"487","10:33816153|33824041",4,NA,NA
"488","10:34248398|34248742",5,NA,NA
"489","10:34459893|34467966",3,NA,NA
"490","10:36849922|36850094",2,NA,NA
"491","10:38799721|38799915",2,NA,NA
"492","10:38948710|38951523",NA,NA,2
"493","10:39349081|39349271",4,NA,NA
"494","10:39510530|39515394",NA,2,NA
"495","10:39515215|39517390",NA,NA,4
"496","10:39618686|39675973",NA,NA,2
"497","10:39680947|39690086",NA,NA,3
"498","10:39952559|39956803",NA,NA,2
"499","10:40130259|40130460",NA,3,NA
"500","10:40249858|40284362",4,NA,NA
"501","10:40310299|40312208",2,NA,NA
"502","10:40523469|40550795",NA,NA,4
"503","10:41387581|41387792",3,NA,NA
"504","10:41616835|41621917",NA,NA,4
"505","10:42276336|42302583",NA,NA,3
"506","10:42330302|42330526",NA,NA,6
"507","10:42659437|42667287",9,2,4
"508","10:42670770|42674851",2,NA,NA
"509","10:42674742|42682667",NA,NA,4
"510","10:42783712|42811143",NA,NA,2
"511","10:43269866|43271688",2,3,2
"512","10:43783754|43822677",NA,NA,4
"513","10:43840573|43842409",5,2,NA
"514","10:43862246|43875343",NA,NA,3
"515","10:45464475|45494725",NA,NA,2
"516","10:45524686|45528834",NA,NA,4
"517","10:48551583|48551964",NA,2,NA
"518","10:50493807|50494367",2,NA,NA
"519","10:50514003|50536822",NA,NA,2
"520","10:50592580|50596806",6,NA,NA
"521","10:50624901|50643603",7,2,33
"522","10:50643186|50643603",NA,NA,2
"523","10:52305288|52312759",5,NA,6
"524","10:53487447|53492148",8,NA,NA
"525","10:55903994|55916375",NA,NA,3
"526","10:55991465|55991651",NA,NA,2
"527","10:58122963|58130727",NA,NA,2
"528","10:58248224|58252504",NA,2,NA
"529","10:58299904|58300350",NA,NA,2
"530","10:58324394|58326577",NA,NA,3
"531","10:59197682|59203176",NA,3,NA
"532","10:59785678|59786816",5,NA,NA
"533","10:59877942|59900230",NA,NA,6
"534","10:59901427|59901598",2,NA,NA
"535","10:60125854|60126148",3,NA,NA
"536","10:60298781|60298952",3,NA,NA
"537","10:60559542|60566431",7,NA,NA
"538","10:60941200|60948069",NA,NA,2
"539","10:61362838|61383994",2,NA,10
"540","10:61496690|61501245",NA,2,NA
"541","10:61509631|61509910",NA,NA,2
"542","10:62273212|62277025",4,NA,11
"543","10:62276913|62283552",NA,NA,2
"544","10:62304068|62316486",4,NA,NA
"545","10:62582679|62583243",2,NA,NA
"546","10:62586325|62586795",2,NA,5
"547","10:62595872|62596058",2,NA,NA
"548","10:62595872|62602561",NA,2,NA
"549","10:62606633|62607844",NA,8,19
"550","10:62612346|62612742",2,3,10
"551","10:62851580|62851954",NA,2,NA
"552","10:62851580|62855306",NA,2,NA
"553","10:63118959|63126455",NA,NA,3
"554","10:63126282|63135018",4,NA,NA
"555","10:63167523|63171656",4,NA,NA
"556","10:65822807|65823104",2,NA,NA
"557","10:66993685|67025628",17,9,32
"558","10:66993685|67051154",NA,NA,2
"559","10:67081284|67083929",NA,2,NA
"560","10:67962528|67970936",NA,NA,3
"561","10:68021855|68079059",13,NA,4
"562","10:68072176|68079059",2,NA,NA
"563","10:6850569|6870086",NA,NA,3
"564","10:68584205|68587158",2,NA,NA
"565","10:6885174|6906132",NA,NA,3
"566","10:69487940|69488104",2,NA,NA
"567","10:69763524|69768326",NA,2,NA
"568","10:69932760|69932950",NA,NA,2
"569","10:69978408|69978558",NA,NA,4
"570","10:69978408|69990666",26,23,54
"571","10:69978408|70005082",NA,NA,3
"572","10:69978408|70010997",5,NA,NA
"573","10:69990537|70005082",NA,NA,6
"574","10:69990537|70010997",NA,2,4
"575","10:70002831|70010997",4,NA,NA
"576","10:7102863|7104485",24,NA,2
"577","10:72589993|72590374",2,NA,NA
"578","10:7266250|7266449",3,NA,NA
"579","10:74966852|74967516",2,NA,NA
"580","10:75109850|75115795",7,NA,10
"581","10:75409444|75410230",3,3,8
"582","10:75520125|75530880",NA,2,NA
"583","10:75520125|75535929",4,2,14
"584","10:75530548|75535929",NA,NA,15
"585","10:75553271|75557373",NA,NA,2
"586","10:75581062|75583809",NA,NA,6
