"","circ_id","mmu1","mmu2","mmu3"
"339","1:58587797|58597216",NA,3,NA
"340","1:58765464|58780205",2,1,7
"341","1:58863073|58872933",1,NA,2
"342","1:58954844|58960311",NA,NA,1
"343","1:58960232|58961048",NA,2,NA
"344","1:59890336|59891600",NA,1,1
"345","1:59988211|59997594",NA,NA,3
"346","1:60121195|60121808",3,NA,NA
"347","1:60141785|60175543",NA,NA,1
"348","1:60144469|60148608",NA,1,NA
"349","1:60144469|60167232",NA,1,NA
"350","1:60148380|60185331",NA,NA,3
"351","1:60233662|60234335",5,2,1
"352","1:60263783|60269844",NA,NA,4
"353","1:60263783|60286943",1,NA,NA
"354","1:60311291|60316410",NA,1,NA
"355","1:60532696|60537693",1,NA,2
"356","1:60802137|60804551",3,NA,NA
"357","1:62383092|62384266",NA,NA,1
"358","1:6298163|6304623",2,NA,NA
"359","1:6300182|6304623",2,NA,NA
"360","1:63132443|63144918",NA,3,NA
"361","1:6315648|6318033",NA,NA,1
"362","1:63187554|63187730",NA,6,20
"363","1:64117865|64118493",14,4,10
"364","1:64590007|64597808",NA,NA,1
"365","1:64590007|64609435",1,1,NA
"366","1:64590007|64615488",4,NA,6
"367","1:65229477|65244837",NA,NA,5
"368","1:65234814|65235942",1,NA,NA
"369","1:65304407|65305085",NA,NA,2
"370","1:66361562|66419932",NA,NA,1
"371","1:66812064|66841327",NA,NA,4
"372","1:66840207|66841327",NA,NA,2
"373","1:66840207|66846763",NA,NA,8
"374","1:69609651|69617206",5,NA,NA
"375","1:71085836|71092880",NA,NA,3
"376","1:7190417|7190839",5,1,4
"377","1:7190417|7217963",5,NA,NA
"378","1:72351566|72354740",NA,NA,3
"379","1:72393401|72422928",2,NA,NA
"380","1:72420777|72422928",NA,NA,5
"381","1:74489653|74493242",NA,2,NA
"382","1:74634367|74635096",NA,NA,8
"383","1:75084467|75094914",10,NA,NA
"384","1:75164328|75164750",NA,1,6
"385","1:75503828|75503987",NA,NA,1
"386","1:79591919|79603002",NA,2,NA
"387","1:79601398|79603002",2,NA,1
"388","1:79691574|79695032",2,NA,NA
"389","1:79691574|79702474",2,NA,NA
"390","1:80281796|80300773",2,NA,NA
"391","1:80299501|80300773",2,NA,NA
"392","1:82318039|82320583",NA,NA,6
"393","1:82318039|82355425",NA,NA,1
"394","1:82346012|82355425",3,NA,NA
"395","1:82853008|82854045",NA,2,4
"396","1:84741048|84741652",4,1,NA
"397","1:84754037|84763917",1,2,3
"398","1:84754037|84772048",NA,NA,4
"399","1:84760547|84763917",3,NA,NA
"400","1:84771245|84792690",2,NA,NA
"401","1:85627327|85629164",NA,NA,3
"402","1:86006289|86017912",NA,NA,11
"403","1:86010868|86012992",NA,NA,1
"404","1:86016530|86017912",NA,NA,1
"405","1:86044296|86046348",1,NA,NA
"406","1:86054177|86056027",NA,1,NA
"407","1:86514737|86520088",NA,NA,2
"408","1:86526724|86528910",3,NA,2
"409","1:86672402|86673220",NA,NA,2
"410","1:86672402|86688111",1,NA,NA
"411","1:86782081|86785096",NA,NA,2
"412","1:86901121|86918047",1,NA,NA
"413","1:87217189|87225485",NA,NA,3
"414","1:87291825|87293001",2,3,15
"415","1:87291825|87301833",NA,3,16
"416","1:87291825|87306805",NA,NA,7
"417","1:87291825|87307730",133,131,607
"418","1:87291825|87331568",2,NA,1
"419","1:87301718|87307730",NA,NA,1
"420","1:87331388|87339589",NA,NA,3
"421","1:87344539|87356450",NA,1,NA
"422","1:87349212|87352948",NA,2,NA
"423","1:87350902|87352948",5,NA,1
"424","1:87356291|87361638",NA,1,NA
"425","1:87361401|87364613",NA,NA,2
"426","1:87687772|87693904",NA,1,NA
"427","1:87693059|87694779",NA,1,1
"428","1:87808089|87809661",14,NA,13
"429","1:87884932|87890210",2,NA,NA
"430","1:89532319|89562016",16,4,34
"431","1:89555482|89562016",22,2,13
"432","1:89558109|89562016",NA,NA,1
"433","1:89591382|89592911",NA,1,NA
"434","1:89591382|89598993",14,10,49
"435","1:89653682|89671618",4,NA,3
