"gene_id","gene_name"
"ENSMFUG00018003400244","novel_gene_954_5d71f2e7"
"ENSMFUG00018003600244","novel_gene_217_5d769ab4"
"ENSMFUG00018019400004","novel_gene_1047_5d71f2e7"
"ENSMFUG00018010100244","novel_gene_187_5d846b90"
"ENSMFUG00018021400004","novel_gene_688_5d71f2e7"
"ENSMFUG00018006200004","novel_gene_235_5d71f2e7"
"ENSMFUG00018000400004","novel_gene_7_5d71f2e7"
"ENSMFUG00018012300244","novel_gene_883_5d71f2e7"
"ENSMFUG00018016000004","novel_gene_504_5d71f2e7"
"ENSMFUG00018003100074","novel_gene_128_5d71f2e7"
"ENSMFUG00018020700084","novel_gene_665_5d71f2e7"
"ENSMFUG00018012700004","novel_gene_417_5d71f2e7"
"ENSMFUG00018013400074","novel_gene_430_5d71f2e7"
"ENSMFUG00018010500004","novel_gene_355_5d71f2e7"
"ENSMFUG00018006000244","novel_gene_855_5d71f2e7"
"ENSMFUG00018009300004","novel_gene_319_5d71f2e7"
"ENSMFUG00018016800144","novel_gene_532_5d71f2e7"
"ENSMFUG00018025900244","novel_gene_921_5d71f2e7"
"ENSMFUG00003010800244","novel_gene_26_5d846b90"
"ENSMFUG00003058400004","novel_gene_1854_5d71f2e7"
"ENSMFUG00003013300014","novel_gene_2030_5d71f2e7"
"ENSMFUG00003003500004","novel_gene_2079_5d71f2e7"
"ENSMFUG00003058700124","novel_gene_1855_5d71f2e7"
"ENSMFUG00003068600004","novel_gene_1962_5d71f2e7"
"ENSMFUG00003066300004","novel_gene_2057_5d71f2e7"
"ENSMFUG00003058000004","novel_gene_1850_5d71f2e7"
"ENSMFUG00003010301243","novel_gene_73_5d71f2e7"
"ENSMFUG00003080400004","novel_gene_2038_5d71f2e7"
"ENSMFUG00003012600004","novel_gene_959_5d71f2e7"
"ENSMFUG00003050300004","novel_gene_1741_5d71f2e7"
"ENSMFUG00003022800004","novel_gene_1196_5d71f2e7"
"ENSMFUG00003012900244","novel_gene_981_5d71f2e7"
"ENSMFUG00003062600244","novel_gene_310_5d71f2e7"
"ENSMFUG00003014100004","novel_gene_1039_5d71f2e7"
"ENSMFUG00003012000004","novel_gene_2088_5d71f2e7"
"ENSMFUG00003032300244","novel_gene_391_5d846b90"
"ENSMFUG00003013500244","novel_gene_2092_5d71f2e7"
"ENSMFUG00003055602051","novel_gene_1824_5d71f2e7"
"ENSMFUG00003077000004","novel_gene_2001_5d71f2e7"
"ENSMFUG00003025500004","novel_gene_1262_5d71f2e7"
"ENSMFUG00003049000004","novel_gene_1719_5d71f2e7"
"ENSMFUG00003077800004","novel_gene_2004_5d71f2e7"
"ENSMFUG00003044100004","novel_gene_1663_5d71f2e7"
