"gene_id","gene_name"
"ENSMPIG00014050200174","novel_gene_1225_627a1eab_novel_gene_1602_627a1eab"
"ENSMPIG00014035600244","novel_gene_1785_627a1eab"
"ENSMPIG00014015401173","novel_gene_487_627a1eab"
"ENSMPIG00014036700094","novel_gene_1786_627a1eab"
"ENSMPIG00003039700034","novel_gene_1815_627a1eab"
"ENSMPIG00003038400244","novel_gene_98_62831269"
"ENSMPIG00003012500044","novel_gene_1282_627a1eab"
"ENSMPIG00003036200244","novel_gene_2346_627a1eab"
"ENSMPIG00003014200244","novel_gene_209_62831269"
"ENSMPIG00003014300244","novel_gene_620_627a1eab"
"ENSMPIG00003099200054","novel_gene_949_627a1eab"
"ENSMPIG00003051201093","novel_gene_1949_627a1eab"
"ENSMPIG00003031900244","novel_gene_83_62831269"
"ENSMPIG00003011000244","novel_gene_609_627a1eab"
"ENSMPIG00003066100244","novel_gene_269_62831269"
"ENSMPIG00003024900174","novel_gene_661_627a1eab"
"ENSMPIG00003057300244","novel_gene_339_627a1eab"
"ENSMPIG00003031809243","novel_gene_211_627a1eab"
"ENSMPIG00003073700174","novel_gene_2344_627a1eab"
"ENSMPIG00003051100034","novel_gene_1948_627a1eab"
"ENSMPIG00003096200244","novel_gene_905_627a1eab"
"ENSMPIG00003057201243","novel_gene_135_62831269"
"ENSMPIG00003012600244","novel_gene_206_62831269"
"ENSMPIG00003020500244","novel_gene_140_627a1eab"
"ENSMPIG00003017800244","novel_gene_635_627a1eab"
"ENSMPIG00003009500244","novel_gene_202_62831269"
"ENSMPIG00003017900244","novel_gene_212_62831269"
"ENSMPIG00003022500164","novel_gene_1494_627a1eab"
"ENSMPIG00003097400244","novel_gene_916_627a1eab"
"ENSMPIG00003062800244","novel_gene_263_62831269"
"ENSMPIG00019032800104","novel_gene_585_627a1eab"
"ENSMPIG00019034700244","novel_gene_594_627a1eab"
"ENSMPIG00019026100234","novel_gene_187_62831269"
"ENSMPIG00019026200234","novel_gene_555_627a1eab"
"ENSMPIG00019069400084","novel_gene_1820_627a1eab"
"ENSMPIG00019020700044","novel_gene_1143_627a1eab"
"ENSMPIG00019009900174","novel_gene_958_627a1eab"
"ENSMPIG00019051001013","novel_gene_1589_627a1eab"
"ENSMPIG00024012800244","novel_gene_34_62831269"
"ENSMPIG00024019900244","novel_gene_114_627a1eab"
"ENSMPIG00024012900244","novel_gene_84_627a1eab"
"ENSMPIG00024011500244","novel_gene_77_627a1eab"
"ENSMPIG00024000200244","novel_gene_737_627a1eab"
"ENSMPIG00024019400244","novel_gene_812_627a1eab"
"ENSMPIG00024000100244","novel_gene_197_62831269"
"ENSMPIG00024005900244","novel_gene_15_62831269"
"ENSMPIG00024007000034","novel_gene_307_627a1eab"
"ENSMPIG00024016300104","novel_gene_97_627a1eab"
"ENSMPIG00098000100164","novel_gene_2496_627a1eab"
