"gene_id","circ_mpi1","circ_mpi2","circ_mpi3","mpi1","mpi2","mpi3"
"ENSMPIG00021076924241",36,48,57,1599,1847,1694
"ENSMPIG00022000924241",11,33,19,1631,1542,1157
"ENSMPIG00022006417243",113,122,123,205,194,250
"ENSMPIG00022007322243",12,18,6,1043,1111,930
"ENSMPIG00022013800244",288,421,373,0,0,0
"ENSMPIG00022013900244",288,421,373,0,0,0
"ENSMPIG00022021316243",33,59,54,607,813,724
"ENSMPIG00022024124241",46,53,48,1551,1087,913
"ENSMPIG00022036022243",2,1,14,2549,2254,1297
"ENSMPIG00022038124241",31,21,46,24914,25735,26515
"ENSMPIG00022043124243",17,13,26,204,295,254
"ENSMPIG00023009319233",1,2,8,207,160,324
"ENSMPIG00023012821213",4,4,9,1749,1745,1833
"ENSMPIG00023013518243",11,13,9,1163,1176,1230
"ENSMPIG00023017311243",5,8,8,525,589,275
"ENSMPIG00023025823243",28,3,13,2731,1847,2301
"ENSMPIG00023032323243",3,7,12,607,445,420
"ENSMPIG00023035400244",35,28,21,0,0,0
"ENSMPIG00023048320213",15,21,10,2662,2971,2043
"ENSMPIG00024000100244",20,20,20,0,0,0
"ENSMPIG00024000200244",20,20,20,0,0,0
"ENSMPIG00024001023243",17,15,28,1364,1798,1285
"ENSMPIG00024006821243",16,17,20,2655,3006,2565
"ENSMPIG00024010124241",3,5,4,444,581,371
"ENSMPIG00024010423233",33,53,30,5718,5797,3981
"ENSMPIG00024019900244",14,9,2,0,0,0
"ENSMPIG00024020422243",7,2,8,526,692,605
"ENSMPIG00024021823243",69,42,68,366,329,317
"ENSMPIG00025011323243",9,29,26,992,1242,1208
"ENSMPIG00025012320243",13,19,14,138,153,118
"ENSMPIG00025016824241",73,80,83,1322,1197,1935
"ENSMPIG00025019024241",20,20,19,1852,1712,1038
"ENSMPIG00027001822243",16,10,37,3556,3480,3559
"ENSMPIG00027002722243",15,15,129,11448,11541,6156
"ENSMPIG00027010223243",8,34,25,1359,1660,1861
"ENSMPIG00027010324241",6,25,12,251,356,323
"ENSMPIG00027011522243",10,19,14,1634,1332,1156
"ENSMPIG00027015323233",37,34,17,461,472,342
"ENSMPIG00027016124241",41,62,60,7327,6951,6074
"ENSMPIG00027016224241",9,9,3,935,1164,815
"ENSMPIG00027020200244",146,104,141,0,0,0
"ENSMPIG00027020300244",146,104,141,0,0,0
"ENSMPIG00027021124241",16,25,26,3187,3383,3000
"ENSMPIG00028006800244",417,635,407,0,0,0
"ENSMPIG00028007224241",12,13,5,10509,9155,8674
"ENSMPIG00029003218243",7,20,27,209,148,134
"ENSMPIG00029003321243",7,20,27,298,476,361
"ENSMPIG00029006124241",37,74,103,1039,980,992
"ENSMPIG00029008124241",15,4,26,4848,3839,2951
"ENSMPIG00029016423243",6,4,5,2093,1983,1704
"ENSMPIG00029020923243",146,167,190,3574,3008,2862
"ENSMPIG00029029907243",16,14,36,601,686,719
"ENSMPIG00029038722243",42,45,52,6874,5447,5149
"ENSMPIG00029039822243",97,93,33,729,523,402
"ENSMPIG00029047801243",121,146,92,1953,1585,1666
"ENSMPIG00030005524241",10,10,7,1378,1372,918
"ENSMPIG00030017024241",82,66,104,6143,4813,4444
"ENSMPIG00030018819243",13,12,24,5522,5328,6390
"ENSMPIG00030021624241",18,12,16,766,637,559
"ENSMPIG00031004623233",125,251,184,888,761,1100
"ENSMPIG00031008319243",3,1,2,1129,1101,1073
"ENSMPIG00031008922243",3,11,32,1304,959,880
"ENSMPIG00031009123243",8,1,9,152,185,185
"ENSMPIG00031010820243",289,187,201,11737,10184,5694
"ENSMPIG00031011722243",2,1,2,1700,2503,2099
"ENSMPIG00032002820243",48,56,57,15946,15223,17442
"ENSMPIG00032012624241",3,1,1,94,147,187
"ENSMPIG00032013616163",89,28,65,4234,2451,1460
"ENSMPIG00032014323243",16,11,7,715,924,1003
"ENSMPIG00033001422243",30,47,58,1296,1208,1485
"ENSMPIG00035007619243",63,61,95,4107,3923,3496
"ENSMPIG00035008324241",16,20,27,2591,2762,2035
"ENSMPIG00039001500244",51,40,44,24,14,11
"ENSMPIG00040001024241",95,130,119,9131,8143,10007
"ENSMPIG00041003700244",20,28,23,0,0,0
"ENSMPIG00044001400244",270,447,210,264,369,326
"ENSMPIG00046002422243",47,27,44,15303,14285,12122
"ENSMPIG00048000300244",80,101,64,0,0,0
"ENSMPIG00048000400244",80,101,64,0,0,0
"ENSMPIG00052002007243",11,12,5,113904,91090,74414
"ENSMPIG00052002411113",4,4,5,698,260,221
"ENSMPIG00053000814143",418,587,587,1262,1060,1005
