"","circ_id","mpi1","mpi2","mpi3"
"272","scaffold0001:42303657|42310430","8.000","10.000","4.000"
"273","scaffold0001:42303657|42328921","15.000","9.000","6.000"
"274","scaffold0001:42310319|42328921","6.000","8.000","5.000"
"275","scaffold0001:42323593|42328921","2.000","1.000","2.000"
"276","scaffold0001:42559464|42560356","2.000","5.000","3.000"
"277","scaffold0001:42676028|42678605","13.000","30.000","18.000"
"278","scaffold0001:43378854|43383634","17.000","44.000","9.000"
"279","scaffold0001:43436999|43457047","5.000","9.000","5.000"
"280","scaffold0001:43450753|43457047","60.000","378.000","225.000"
"281","scaffold0001:43578385|43587284","17.000","20.000","9.000"
"282","scaffold0001:44159666|44260944","25.000","6.000","20.000"
"283","scaffold0001:45505235|45507628","37.000","61.000","23.000"
"284","scaffold0001:45909504|45912258","19.000","1.000","19.000"
"285","scaffold0001:45969783|45970685","18.000","16.000","11.000"
"286","scaffold0001:45969814|45970685","1.000","1.000","1.000"
"287","scaffold0001:46013620|46029151","3.000","1.000","2.000"
"288","scaffold0001:46022135|46024883","1.000","8.000","1.000"
"289","scaffold0001:46022135|46029151","22.000","54.000","19.000"
"290","scaffold0001:46029075|46039899","3.000","12.000","4.000"
"291","scaffold0001:46838733|46862392","2.000","6.000","2.000"
"292","scaffold0001:46930312|46938345","33.000","41.000","23.000"
"293","scaffold0001:47615168|47615902","28.000","34.000","11.000"
"294","scaffold0001:47615168|47623913","2.000","1.000","1.000"
"295","scaffold0001:47623755|47627295","1.000","4.000","9.000"
"296","scaffold0001:47755607|47764524","1.000","5.000","4.000"
"297","scaffold0001:47893427|47897175","7.000","11.000","8.000"
"298","scaffold0001:47976546|47978813","7.000","5.000","7.000"
"299","scaffold0001:48071484|48077169","6.000","1.000","3.000"
"300","scaffold0001:48089012|48089657","5.000","1.000","4.000"
"301","scaffold0001:48112233|48112932","26.000","28.000","21.000"
"302","scaffold0001:48112233|48112935","45.000","56.000","34.000"
"303","scaffold0001:48437108|48445090","1.000","10.000","1.000"
"304","scaffold0001:49591830|49604071","10.000","7.000","14.000"
"305","scaffold0001:49594653|49599541","8.000","7.000","9.000"
"306","scaffold0001:49594653|49604071","173.000","277.000","187.000"
"307","scaffold0001:49621303|49631709","27.000","26.000","27.000"
"308","scaffold0001:50503913|50509883","22.000","31.000","39.000"
"309","scaffold0001:50503913|50527067","11.000","6.000","2.000"
"310","scaffold0001:51004551|51015098","44.000","102.000","112.000"
"311","scaffold0001:51012916|51015098","6.000","4.000","4.000"
"312","scaffold0001:51024378|51025289","7.000","8.000","1.000"
"313","scaffold0001:51050589|51051555","233.000","298.000","360.000"
"314","scaffold0001:51271571|51276794","8.000","4.000","5.000"
"315","scaffold0001:51337201|51338748","53.000","83.000","41.000"
"316","scaffold0001:51337201|51354605","3.000","1.000","5.000"
"317","scaffold0001:51347112|51354605","8.000","8.000","2.000"
"318","scaffold0001:51516698|51519480","21.000","30.000","25.000"
"319","scaffold0001:51518311|51519480","41.000","37.000","40.000"
"320","scaffold0001:52669334|52682174","4.000","11.000","5.000"
"321","scaffold0001:53407124|53407573","10.000","43.000","20.000"
"322","scaffold0001:53407124|53424794","9.000","12.000","2.000"
"323","scaffold0001:53423650|53424794","2.000","2.000","1.000"
"324","scaffold0001:53529512|53536494","4.000","6.000","2.000"
"325","scaffold0001:53757439|53761354","117.000","149.000","107.000"
"326","scaffold0001:53770102|53775843","2.000","2.000","1.000"
"327","scaffold0001:53770102|53778569","20.000","36.000","22.000"
"328","scaffold0001:53771965|53783002","4.000","4.000","6.000"
"329","scaffold0001:53773448|53778569","1.000","7.000","6.000"
"330","scaffold0001:53782872|53785435","21.000","10.000","13.000"
"331","scaffold0001:54065383|54069427","4.000","8.000","2.000"
"332","scaffold0001:54068220|54069427","2.000","3.000","3.000"
"333","scaffold0001:54079329|54080594","42.000","32.000","20.000"
"334","scaffold0001:54504933|54519072","3.000","2.000","8.000"
"335","scaffold0001:54533455|54552872","7.000","5.000","24.000"
"336","scaffold0001:54543870|54545947","4.000","9.000","4.000"
"337","scaffold0001:55609859|55629274","6.000","3.000","2.000"
"338","scaffold0001:55747432|55751506","1.000","4.000","3.000"
"339","scaffold0001:55809198|55812481","11.000","18.000","27.000"
"340","scaffold0001:56060377|56079912","10.000","7.000","4.000"
"341","scaffold0001:56826478|56832903","2.000","16.000","7.000"
"342","scaffold0001:58148179|58160022","9.000","4.000","2.000"
"343","scaffold0001:58150638|58150963","145.000","219.000","215.000"
"344","scaffold0001:59465041|59469120","29.000","21.000","14.000"
"345","scaffold0001:59465041|59476372","15.000","5.000","5.000"
"346","scaffold0001:59577124|59578052","3.000","8.000","10.000"
"347","scaffold0001:59577124|59606081","3.000","1.000","3.000"
"348","scaffold0001:59708400|59716191","5.000","9.000","7.000"
"349","scaffold0001:59708400|59732866","2.000","7.000","12.000"
"350","scaffold0001:59716060|59732866","8.000","11.000","7.000"
"351","scaffold0001:61404368|61415077","2.000","4.000","4.000"
"352","scaffold0001:61404368|61419313","12.000","2.000","16.000"
"353","scaffold0001:61449916|61454805","5.000","11.000","1.000"
"354","scaffold0001:61543448|61546998","8.000","6.000","1.000"
"355","scaffold0001:62055424|62084097","10.000","14.000","8.000"
"356","scaffold0001:62138931|62141138","145.000","43.000","35.000"
"357","scaffold0001:62138931|62185302","18.000","15.000","12.000"
"358","scaffold0001:62140692|62141138","6.000","2.000","6.000"
"359","scaffold0001:62140692|62185302","1.000","2.000","10.000"
"360","scaffold0001:62184345|62185302","149.000","267.000","179.000"
"361","scaffold0001:62419428|62425455","12.000","13.000","6.000"
"362","scaffold0001:62433187|62438536","6.000","25.000","3.000"
"363","scaffold0001:62455875|62458675","23.000","18.000","26.000"
"364","scaffold0001:64943262|64960231","41.000","33.000","7.000"
"365","scaffold0001:64943262|64960988","4.000","22.000","1.000"
"366","scaffold0001:64958020|64960231","29.000","55.000","18.000"
"367","scaffold0001:65190930|65191187","5.000","4.000","3.000"
"368","scaffold0001:65190930|65193502","5.000","7.000","6.000"
"369","scaffold0001:65321431|65321678","1.000","3.000","2.000"
"370","scaffold0001:65389247|65393309","6.000","2.000","2.000"
"371","scaffold0001:65389247|65402566","10.000","21.000","15.000"
"372","scaffold0001:65393185|65402566","28.000","21.000","17.000"
"373","scaffold0001:65400474|65402566","186.000","275.000","417.000"
"374","scaffold0001:65402235|65402566","3.000","17.000","15.000"
"375","scaffold0001:65620711|65635234","16.000","13.000","9.000"
"376","scaffold0001:65633601|65635234","14.000","17.000","2.000"
"377","scaffold0001:65752928|65756416","10.000","25.000","5.000"
"378","scaffold0001:66070921|66074098","7.000","9.000","11.000"
"379","scaffold0001:66702032|66713317","5.000","4.000","18.000"
"380","scaffold0001:66702032|66720121","9.000","29.000","36.000"
"381","scaffold0001:66716737|66720121","2.000","3.000","7.000"
"382","scaffold0001:67666|77417","4.000","12.000","7.000"
"383","scaffold0001:67666|80271","2.000","5.000","4.000"
"384","scaffold0001:69098115|69099959","58.000","99.000","45.000"
"385","scaffold0001:69215899|69239461","13.000","21.000","5.000"
"386","scaffold0001:69218610|69239461","1.000","30.000","27.000"
"387","scaffold0001:69228643|69239461","10.000","37.000","14.000"
"388","scaffold0001:69350400|69355228","21.000","20.000","11.000"
"389","scaffold0001:69350400|69366506","24.000","58.000","20.000"
"390","scaffold0001:69350400|69380566","11.000","12.000","2.000"
"391","scaffold0001:69380439|69386658","7.000","2.000","4.000"
"392","scaffold0001:69409488|69412656","14.000","19.000","31.000"
"393","scaffold0001:69412335|69412656","11.000","8.000","10.000"
"394","scaffold0001:69412335|69442416","10.000","10.000","5.000"
"395","scaffold0001:69422666|69425143","4.000","7.000","4.000"
"396","scaffold0001:69656915|69658863","4.000","11.000","12.000"
"397","scaffold0001:697840|704141","24.000","25.000","29.000"
"398","scaffold0001:697909|704141","2.000","5.000","7.000"
"399","scaffold0001:69863894|69864755","13.000","21.000","22.000"
"400","scaffold0001:69899646|69916596","19.000","33.000","26.000"
"401","scaffold0001:69916513|69922220","15.000","36.000","28.000"
"402","scaffold0001:70052136|70056640","7.000","2.000","1.000"
"403","scaffold0001:70764582|70767942","45.000","53.000","62.000"
"404","scaffold0001:70764613|70767942","53.000","87.000","31.000"
"405","scaffold0001:70764613|70778248","8.000","19.000","6.000"
"406","scaffold0001:70767388|70767942","4.000","3.000","17.000"
"407","scaffold0001:71139622|71140133","2.000","5.000","1.000"
"408","scaffold0001:71167426|71172125","86.000","72.000","74.000"
"409","scaffold0001:71303269|71307588","10.000","20.000","5.000"
"410","scaffold0001:71440634|71443309","1.000","13.000","9.000"
"411","scaffold0001:71490955|71495544","4.000","11.000","6.000"
"412","scaffold0001:71530409|71549117","49.000","42.000","29.000"
"413","scaffold0001:71537232|71549117","4.000","3.000","2.000"
"414","scaffold0001:71537237|71541501","140.000","258.000","130.000"
"415","scaffold0001:71537237|71549117","167.000","147.000","90.000"
"416","scaffold0001:71541405|71549117","12.000","15.000","5.000"
"417","scaffold0001:71600528|71602339","3.000","9.000","14.000"
"418","scaffold0001:71634927|71635760","9.000","7.000","14.000"
"419","scaffold0001:71779625|71780485","1.000","3.000","5.000"
"420","scaffold0001:71796849|71800575","39.000","50.000","39.000"
"421","scaffold0001:72355896|72362633","3.000","14.000","2.000"
"422","scaffold0001:74177850|74181131","34.000","20.000","16.000"
"423","scaffold0001:74239457|74241411","6.000","7.000","3.000"
"424","scaffold0001:74239457|74250096","4.000","5.000","3.000"
"425","scaffold0001:74856994|74862835","4.000","2.000","1.000"
"426","scaffold0001:75890074|75914544","3.000","11.000","3.000"
"427","scaffold0001:75899723|75914544","17.000","15.000","4.000"
"428","scaffold0001:75909892|75914544","4.000","17.000","10.000"
"429","scaffold0001:75909892|76001931","1.000","4.000","1.000"
"430","scaffold0001:75956312|76001931","6.000","2.000","1.000"
"431","scaffold0001:75956312|76019887","16.000","11.000","8.000"
"432","scaffold0001:76001769|76018274","23.000","19.000","30.000"
"433","scaffold0001:76001769|76019887","215.000","179.000","175.000"
"434","scaffold0001:76016262|76019887","698.000","787.000","633.000"
"435","scaffold0001:76148860|76152931","2.000","5.000","6.000"
"436","scaffold0001:76977713|76991625","18.000","22.000","7.000"
"437","scaffold0001:77664439|77667095","13.000","37.000","34.000"
"438","scaffold0001:77706598|77712202","1.000","3.000","4.000"
"439","scaffold0001:77706598|77728337","64.000","76.000","41.000"
"440","scaffold0001:78653075|78653636","47.000","84.000","55.000"
"441","scaffold0001:79236537|79238450","1.000","9.000","1.000"
"442","scaffold0001:79832314|79837472","9.000","6.000","8.000"
"443","scaffold0001:79986293|79990187","3.000","5.000","2.000"
"444","scaffold0001:80168310|80172437","16.000","15.000","17.000"
"445","scaffold0001:80205925|80206182","46.000","56.000","22.000"
"446","scaffold0001:80326775|80327068","12.000","58.000","2.000"
"447","scaffold0001:80326775|80334542","8.000","13.000","5.000"
"448","scaffold0001:80332223|80334542","15.000","13.000","14.000"
