"","circ_id","hsa1","hsa2","hsa3"
"425","1:31303920|31304088","1.000",NA,NA
"426","1:31331224|31331394",NA,NA,"1.000"
"427","1:31337174|31339048",NA,"2.000","2.000"
"428","1:31425775|31426823",NA,"2.000",NA
"429","1:31428977|31429538",NA,"3.000",NA
"430","1:31957015|31957181","1.000",NA,NA
"431","1:32030297|32031640",NA,"6.000",NA
"432","1:32144566|32144738",NA,"4.000",NA
"433","1:32226170|32226530",NA,NA,"3.000"
"434","1:32231743|32232184",NA,"9.000",NA
"435","1:32305692|32305858",NA,"1.000",NA
"436","1:32326938|32327677",NA,"1.000",NA
"437","1:32334582|32334800",NA,"5.000",NA
"438","1:32501752|32501917",NA,NA,"1.000"
"439","1:32948221|32949774",NA,"7.000","6.000"
"440","1:33294936|33295305",NA,"2.000",NA
"441","1:33544474|33544659",NA,NA,"3.000"
"442","1:33904035|33904200",NA,NA,"3.000"
"443","1:34779853|34780005","2.000",NA,NA
"444","1:34881284|34881474",NA,NA,"3.000"
"445","1:35269207|35269371",NA,NA,"1.000"
"446","1:3528532|3528695",NA,NA,"1.000"
"447","1:35415465|35415714",NA,"3.000",NA
"448","1:35559596|35559758",NA,NA,"1.000"
"449","1:36358238|36362656",NA,"4.000",NA
"450","1:36361220|36362656",NA,NA,"5.000"
"451","1:36793606|36793773",NA,NA,"2.000"
"452","1:38158372|38158527",NA,NA,"1.000"
"453","1:38480808|38480943",NA,"2.000",NA
"454","1:38578136|38578284",NA,NA,"3.000"
"455","1:39047035|39047987",NA,"5.000",NA
"456","1:39370029|39372596",NA,"3.000",NA
"457","1:39434413|39439500",NA,"2.000",NA
"458","1:39568801|39572586",NA,"1.000",NA
"459","1:39743917|39744132",NA,NA,"1.000"
"460","1:39804877|39808198",NA,"3.000",NA
"461","1:3991939|3992103",NA,NA,"2.000"
"462","1:40406735|40409835",NA,"7.000",NA
"463","1:40836469|40836667",NA,"10.000",NA
"464","1:4098070|4098286",NA,NA,"2.000"
"465","1:41011231|41011474","1.000",NA,NA
"466","1:41070594|41075451",NA,"4.000","4.000"
"467","1:41125687|41125825",NA,"2.000",NA
"468","1:4131282|4131453","2.000",NA,NA
"469","1:41415984|41416163",NA,NA,"3.000"
"470","1:41628748|41646243",NA,"1.000",NA
"471","1:42265114|42278672",NA,"4.000",NA
"472","1:42265114|42278784",NA,NA,"1.000"
"473","1:42265114|42311110",NA,"3.000",NA
"474","1:42390436|42390577",NA,"1.000",NA
"475","1:42480460|42545579",NA,"1.000",NA
"476","1:42634819|42635011",NA,NA,"1.000"
"477","1:42767533|42767707",NA,NA,"1.000"
"478","1:42773562|42775479",NA,"5.000",NA
"479","1:42796289|42796447","1.000",NA,NA
"480","1:4322404|4322554",NA,"4.000",NA
"481","1:43534373|43534528","1.000",NA,NA
"482","1:43553491|43569778",NA,"4.000",NA
"483","1:43920403|43920928",NA,NA,"3.000"
"484","1:44101789|44101957",NA,"6.000",NA
"485","1:44723768|44723932",NA,NA,"1.000"
"486","1:45552435|45561878",NA,NA,"2.000"
"487","1:45566568|45567020",NA,"8.000",NA
"488","1:45640209|45642499",NA,"8.000","1.000"
"489","1:45714245|45717017",NA,NA,"1.000"
"490","1:45891268|45891408","1.000",NA,NA
"491","1:46309100|46310316",NA,"2.000",NA
"492","1:46565040|46572167",NA,NA,"2.000"
"493","1:46571416|46572167",NA,NA,"2.000"
"494","1:46757991|46758147",NA,"4.000",NA
"495","1:47450828|47451155",NA,NA,"4.000"
"496","1:47513418|47513616",NA,"5.000",NA
"497","1:47647540|47647736",NA,"1.000",NA
"498","1:48077743|48077928",NA,NA,"1.000"
"499","1:48187069|48187238",NA,NA,"2.000"
"500","1:4825958|4827944","1.000",NA,NA
"501","1:48338037|48338253",NA,"1.000",NA
"502","1:49172779|49172968",NA,"2.000",NA
"503","1:49194637|49194896","2.000",NA,NA
"504","1:49297918|49298056",NA,NA,"1.000"
"505","1:49373117|49373284",NA,"2.000",NA
"506","1:49452893|49453140","1.000",NA,NA
"507","1:50398881|50399026",NA,"3.000","7.000"
"508","1:50490587|50535457",NA,"3.000",NA
"509","1:50547002|50547141",NA,"1.000",NA
"510","1:50591174|50591445",NA,"2.000",NA
"511","1:50620051|50620196",NA,NA,"1.000"
"512","1:50655441|50744775",NA,"1.000",NA
"513","1:50705785|50744775",NA,NA,"1.000"
"514","1:50738862|50752523",NA,"9.000",NA
"515","1:51311432|51311608",NA,NA,"2.000"
"516","1:5237209|5237375",NA,NA,"2.000"
"517","1:52477707|52481923",NA,NA,"3.000"
"518","1:52482527|52482682",NA,NA,"1.000"
"519","1:52491513|52491665",NA,"1.000",NA
"520","1:52954739|52961629",NA,"1.000",NA
"521","1:5298646|5298816",NA,"1.000",NA
"522","1:53097773|53097913","1.000",NA,NA
"523","1:54016514|54016703",NA,NA,"5.000"
"524","1:54473560|54473745",NA,"2.000",NA
"525","1:54836670|54836884","2.000",NA,NA
"526","1:54985912|54986050",NA,NA,"4.000"
"527","1:55179160|55179331",NA,"1.000",NA
"528","1:5758043|5758214",NA,NA,"1.000"
"529","1:58125529|58125668",NA,"1.000",NA
"530","1:58189936|58190138",NA,NA,"4.000"
"531","1:58714036|58714241",NA,NA,"3.000"
"532","1:58734305|58734459",NA,NA,"2.000"
"533","1:59321535|59346398",NA,"4.000",NA
