"","circ_id","mma1","mma2","mma3"
"640","11:15825238|15826800",6,NA,NA
"641","11:15825238|15848777",5,NA,NA
"642","11:15825879|15826134",3,NA,NA
"643","11:15862195|15868248",8,NA,NA
"644","11:17424980|17464118",3,NA,NA
"645","11:1832443|1832700",7,NA,NA
"646","11:18512717|18527033",2,NA,NA
"647","11:19770371|19821928",9,NA,NA
"648","11:19970508|19974834",6,NA,NA
"649","11:2036905|2083833",NA,92,NA
"650","11:20877659|20888785",11,NA,NA
"651","11:23594678|23633282",NA,NA,22
"652","11:23831654|23850304",2,NA,NA
"653","11:26488434|26489099",8,NA,NA
"654","11:27947122|27974066",9,NA,NA
"655","11:27963852|27964070",9,NA,NA
"656","11:28302494|28303353",6,49,NA
"657","11:28688835|28700301",7,NA,NA
"658","11:29691458|29719779",8,NA,NA
"659","11:33711812|33723752",4,NA,NA
"660","11:33723568|33729514",3,NA,NA
"661","11:33749148|33759475",7,NA,NA
"662","11:33862144|33871282",4,NA,NA
"663","11:33862144|33892815",7,NA,NA
"664","11:33867186|33874923",2,NA,NA
"665","11:3928838|3960701",10,NA,NA
